Ciqual  AGB,Ciqual  code,Groupe d'aliment,Sous-groupe d'aliment,Nom Français,LCI Name,Ingredients,Score unique EF,Changement climatique,Appauvrissement de la couche d'ozone,Rayonnements ionisants,Formation photochimique d'ozone,Particules fines,Effets toxicologiques sur la santé humaine : substances non-cancérogènes,Effets toxicologiques sur la santé humaine : substances cancérogènes,Acidification terrestre et eaux douces,Eutrophisation eaux douces,Eutrophisation marine,Eutrophisation terrestre,Écotoxicité pour écosystèmes aquatiques d'eau douce,Utilisation du sol,Épuisement des ressources eau,Épuisement des ressources énergétiques,Épuisement des ressources minéraux
11168,11168,aides culinaires et ingrédients divers,sauces,"Sauce aïoli, préemballée","Aioli sauce (garlic and olive oil mayonnaise), prepacked",Jaune d'œuf,0.041218826,0.23050846,1.0698708e-8,0.024124356,0.00064365986,4.6796836e-8,4.068379e-9,2.5724662e-10,0.0066949804,0.00006061987,0.0014633598,0.029294239,6.2208621,16.512022,0.34870361,1.3091148,7.9033881e-7
11168,11168,aides culinaires et ingrédients divers,sauces,"Sauce aïoli, préemballée","Aioli sauce (garlic and olive oil mayonnaise), prepacked",Ail,0.0043898915000000005,0.012931394,2.2464914e-9,0.0044824508,0.000062199861,1.145069e-9,4.3193872e-10,1.9975108e-11,0.00014650672,0.0000039587948,0.00019123614,0.00049784664,0.28695149,1.6567168,0.29067438,0.22544632,2.6316484e-7
11168,11168,aides culinaires et ingrédients divers,sauces,"Sauce aïoli, préemballée","Aioli sauce (garlic and olive oil mayonnaise), prepacked",Jus de citron,0.0085419538,0.044853152,5.2841661e-9,0.0045381962,0.00025210248,5.1332481e-9,1.4388595e-9,6.2419725e-11,0.00073910789,0.000011895527,0.00017035185,0.0029204263,5.1475296,6.1207438,0.057476411,0.53214767,4.5069186e-7
11168,11168,aides culinaires et ingrédients divers,sauces,"Sauce aïoli, préemballée","Aioli sauce (garlic and olive oil mayonnaise), prepacked",Huile d'olive,0.43174294999999996,0.54950385,1.6003566e-7,0.10369951,0.0080832978,2.3978571e-7,1.8132397e-7,3.7292935e-9,0.034244187,0.00046886401,0.015783263,0.14307317,50.3366301,518.06787,17.654816,15.619164,0.000017186748
11168,11168,aides culinaires et ingrédients divers,sauces,"Sauce aïoli, préemballée","Aioli sauce (garlic and olive oil mayonnaise), prepacked",Autres étapes,0.077969398,0.5752558,1.3624722e-7,0.68620044,0.0015301105,2.78836166e-8,7.608585e-9,3.0841341e-10,0.0026803284,0.000097001062,0.00130330957,0.0080016987,5.7397493200000005,4.9122432,0.31385829200000004,21.044037,0.00000518085214
24664,24664,produits céréaliers,gâteaux et pâtisseries,Gâteau aux amandes type financier,Almond cake,Amande,0.12374882,0.39274163,3.3855998e-8,0.012979437,0.0027550043,6.4992804e-8,1.4994227e-8,6.9496256e-10,0.0096841003,0.00011011497,0.0045364628,0.040739406,44.966218999999995,64.524411,5.2691222,3.151776,0.0000032422501
24664,24664,produits céréaliers,gâteaux et pâtisseries,Gâteau aux amandes type financier,Almond cake,Beurre,0.1815746,1.9345581,4.4227286e-8,0.13497061,0.0031531401,1.482241e-7,2.5370219e-8,1.0733159e-9,0.021952512,0.00021227964,0.0070895866,0.095437194,21.6049981,114.55281,0.6275609,5.6283028,0.0000048857236
24664,24664,produits céréaliers,gâteaux et pâtisseries,Gâteau aux amandes type financier,Almond cake,Blanc d'oeuf,0.11537035,0.64518679,2.9945388e-8,0.067523404,0.0018015861,1.3098305e-7,1.138728e-8,7.2002616e-10,0.018739065,0.00016967334,0.0040959035,0.081993763,17.4120208,46.216692,0.97601174,3.664176,0.0000022121364
24664,24664,produits céréaliers,gâteaux et pâtisseries,Gâteau aux amandes type financier,Almond cake,Farine de blé,0.0086026775,0.061375074,3.9283692e-9,0.0063456583,0.0001865886,6.1867027e-9,3.8643721e-10,9.8176893e-11,0.00095524329,0.000014118565,0.00064283862,0.004124856,1.22990499,8.3561265,0.027855488,0.43598432,2.896298e-7
24664,24664,produits céréaliers,gâteaux et pâtisseries,Gâteau aux amandes type financier,Almond cake,Sucre blanc,0.032342485000000004,0.1460055,1.1089182e-8,0.0088549721,0.00057759751,3.295829e-8,1.671033e-9,1.1485548e-10,0.004742588,0.000039381052,0.0015161203,0.020227942,2.32413553,8.9827507,0.62271575,1.4790389,0.0000012187635
